system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
The swimmers consist of three or more segments (’links’) and one less articulation joints (’rotors’) - one rotor joint connects exactly two links to form a linear chain. The swimmer is suspended in a two-dimensional pool and always starts in the same position (subject to some deviation drawn from a uniform distribution), and the goal is to move as fast as possible towards the right by applying torque to the rotors and using fluid friction.
The state is a vector of 8 elements, representing the following:
- state[0] angle of the front tip (-inf to inf rad)
- state[1] angle of the first rotor (-inf to inf rad)
- state[2] angle of the second rotor (-inf to inf rad)
- state[3] velocity of the tip along the x-axis (-inf to inf m/s)
- state[4] velocity of the tip along the y-axis (-inf to inf m/s)
- state[5] angular velocity of front tip (-inf to inf rad/s)
- state[6] angular velocity of first rotor (-inf to inf rad/s)
- state[7] angular velocity of second rotor (-inf to inf rad/s) 
The action space is a vector of 2 float numbers, representing the torques applied between the links (-1 to 1 N).
The policy is a linear policy with 5 parameters and works as follows: 
action = argmax(state @ W + B), where
state = [state[0], state[1], state[2], state[3], state[4], state[5], state[6], state[7]]
W = [[params[0], params[1]],
    [params[2], params[3]],
    [params[4], params[5]],
    [params[6], params[7]],
    [params[8], params[9]],
    [params[10], params[11]],
    [params[12], params[13]],
    [params[14], params[15]]]
b = [params[16], params[17]]
The goal is to try to move forward. However, in the meantime, the control cost should also be minimized. The reward function is as follows:
reward = x-velocity - 1e-4 * action^2.

# Regarding the parameters **params**:
**params** is an array of 18 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[17]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 250.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 0.1**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: -2.9; params[1]: -0.1; params[2]: -2.8; params[3]: 0.5; params[4]: -4.9; params[5]: -0.7; params[6]: 3.9; params[7]: -0.2; params[8]: 2.4; params[9]: 3; params[10]: 3.4; params[11]: -0.2; params[12]: -0.2; params[13]: -3.1; params[14]: 0.2; params[15]: -1.4; params[16]: 1.2; params[17]: -0.6; f(params): 47.22
params[0]: 3.7; params[1]: 2.1; params[2]: -1.6; params[3]: 1.8; params[4]: -0.8; params[5]: -1; params[6]: -5.9; params[7]: -0.4; params[8]: -0.1; params[9]: 5; params[10]: 1.3; params[11]: -2.6; params[12]: 0.6; params[13]: -0.2; params[14]: -2; params[15]: 0.9; params[16]: 0.3; params[17]: -0.1; f(params): 95.39
params[0]: -3.1; params[1]: 0.3; params[2]: -2.4; params[3]: -2.2; params[4]: 0.4; params[5]: -3.7; params[6]: 1.5; params[7]: -2.6; params[8]: -2; params[9]: 2.4; params[10]: -1.3; params[11]: -2.3; params[12]: 1.4; params[13]: -0.3; params[14]: -5.4; params[15]: -3.2; params[16]: 6.1; params[17]: 2.9; f(params): 9.63
params[0]: 2.1; params[1]: 0.4; params[2]: -0.5; params[3]: 2.5; params[4]: 3.6; params[5]: -0.9; params[6]: 0.1; params[7]: 0.4; params[8]: -1.3; params[9]: -1.1; params[10]: -0.1; params[11]: 0.9; params[12]: -0.7; params[13]: -0.2; params[14]: -2.6; params[15]: 0.8; params[16]: -4.1; params[17]: -2.8; f(params): -20.78
params[0]: 1.2; params[1]: 0.5; params[2]: 1.7; params[3]: 1.1; params[4]: 4.1; params[5]: -1.5; params[6]: 0.9; params[7]: -0.5; params[8]: 0.5; params[9]: -2.6; params[10]: -4; params[11]: 4.2; params[12]: 6.2; params[13]: 0; params[14]: -0.7; params[15]: 1.2; params[16]: 1.4; params[17]: 0.3; f(params): -257.00
params[0]: 0.9; params[1]: 3; params[2]: 2.1; params[3]: 2.1; params[4]: -0.3; params[5]: 3.4; params[6]: -2.9; params[7]: 0.3; params[8]: -3.1; params[9]: 0.4; params[10]: -1.4; params[11]: -3.9; params[12]: -1.7; params[13]: -0.5; params[14]: 3.3; params[15]: -3.3; params[16]: 1.3; params[17]: -4.2; f(params): -36.33
params[0]: 0.3; params[1]: 5.7; params[2]: -2.6; params[3]: -1.2; params[4]: 0.3; params[5]: -2.3; params[6]: -3.6; params[7]: 3.5; params[8]: -1.1; params[9]: -2; params[10]: 2.7; params[11]: 4.4; params[12]: 4.3; params[13]: 4.6; params[14]: 0.5; params[15]: -0; params[16]: -3; params[17]: -3.8; f(params): -69.44
params[0]: -3.6; params[1]: 1.2; params[2]: 0.2; params[3]: -5.2; params[4]: 1.8; params[5]: 0.4; params[6]: -0.8; params[7]: 6.1; params[8]: 7.9; params[9]: -1.5; params[10]: -3; params[11]: -0.5; params[12]: -1.3; params[13]: -1.4; params[14]: -2.2; params[15]: 1.9; params[16]: -1; params[17]: -3.6; f(params): -181.75
params[0]: 1.6; params[1]: 0.7; params[2]: -1.8; params[3]: -0.9; params[4]: -4.4; params[5]: 1.3; params[6]: -3.3; params[7]: -1.4; params[8]: 6.1; params[9]: -5.4; params[10]: -1.6; params[11]: -1.1; params[12]: 0.7; params[13]: -2.1; params[14]: -0.7; params[15]: 1.7; params[16]: 0.5; params[17]: -0.8; f(params): -28.68
params[0]: -0.7; params[1]: 2.7; params[2]: -0; params[3]: 0.3; params[4]: 2.3; params[5]: -2.7; params[6]: -0.2; params[7]: -2.5; params[8]: -0.5; params[9]: 2.9; params[10]: -1.9; params[11]: 1.2; params[12]: 3.6; params[13]: -3.6; params[14]: 1.6; params[15]: 1.8; params[16]: 1.6; params[17]: -1.4; f(params): -81.03
params[0]: 1.4; params[1]: -4.7; params[2]: 1.7; params[3]: -4.4; params[4]: -0.4; params[5]: 1.5; params[6]: 4; params[7]: -3.7; params[8]: -0; params[9]: 1; params[10]: -0.5; params[11]: 2; params[12]: 1.1; params[13]: 4.8; params[14]: -0.9; params[15]: 5; params[16]: -3.8; params[17]: 0.6; f(params): -54.42
params[0]: 4.4; params[1]: -5.4; params[2]: 2.4; params[3]: -3.2; params[4]: -1.4; params[5]: 1.1; params[6]: 0.7; params[7]: 4.3; params[8]: 1.1; params[9]: -3.3; params[10]: 1.7; params[11]: -6; params[12]: 2.7; params[13]: -2.5; params[14]: 1.2; params[15]: 1.1; params[16]: -3.6; params[17]: 1.6; f(params): -45.41
params[0]: -1.2; params[1]: -1.4; params[2]: 3.2; params[3]: 6.1; params[4]: -5.9; params[5]: 4; params[6]: -3.8; params[7]: 0.1; params[8]: -0.7; params[9]: -2.1; params[10]: -3.8; params[11]: -5.1; params[12]: -2.8; params[13]: -2; params[14]: -5.3; params[15]: 1.5; params[16]: -0.2; params[17]: -4.5; f(params): -47.29
params[0]: 2.9; params[1]: -2.9; params[2]: -0.9; params[3]: 2.9; params[4]: -5.9; params[5]: -1.5; params[6]: -1.5; params[7]: 6; params[8]: 1.5; params[9]: 1; params[10]: 4.2; params[11]: -0.1; params[12]: -4; params[13]: 0.6; params[14]: 0.2; params[15]: 3.8; params[16]: 5.7; params[17]: 2.7; f(params): 18.27
params[0]: -0.4; params[1]: -2.4; params[2]: 3.2; params[3]: -5.7; params[4]: -3.3; params[5]: 1.1; params[6]: -1.6; params[7]: -0.3; params[8]: 1.1; params[9]: 4.5; params[10]: 2.1; params[11]: -0.9; params[12]: -4.4; params[13]: 0.5; params[14]: -2.7; params[15]: -1.7; params[16]: -1.3; params[17]: -0.7; f(params): -39.00
params[0]: -0.8; params[1]: -1.2; params[2]: -0.3; params[3]: 2.7; params[4]: -3; params[5]: -1.1; params[6]: 0.2; params[7]: 4.7; params[8]: -2.8; params[9]: 1.4; params[10]: -8.7; params[11]: 3.9; params[12]: 2.8; params[13]: -0.7; params[14]: -3.8; params[15]: -6.6; params[16]: -2.7; params[17]: -5.1; f(params): -142.12
params[0]: -0.9; params[1]: 3.4; params[2]: 1.7; params[3]: 4; params[4]: -1.5; params[5]: 6.2; params[6]: -3.3; params[7]: -2.3; params[8]: -0.1; params[9]: -0.7; params[10]: -0.4; params[11]: 3.3; params[12]: -3.7; params[13]: -3.9; params[14]: -4; params[15]: 1; params[16]: 0.3; params[17]: -0.5; f(params): -30.77
params[0]: 4.8; params[1]: -5.5; params[2]: 0.4; params[3]: -3.7; params[4]: 3.5; params[5]: 1.8; params[6]: -8.8; params[7]: 4.1; params[8]: -2.8; params[9]: -0.7; params[10]: -1.1; params[11]: 0.7; params[12]: -3; params[13]: 3.6; params[14]: -0.2; params[15]: -5.1; params[16]: 0.3; params[17]: -2.5; f(params): -21.57
params[0]: 4; params[1]: 0.1; params[2]: -2.8; params[3]: 1.3; params[4]: 3.4; params[5]: 1.8; params[6]: 0.7; params[7]: 2.8; params[8]: 7.9; params[9]: -3.4; params[10]: -3.6; params[11]: 2.2; params[12]: -2.1; params[13]: -2.2; params[14]: -1.4; params[15]: 2.4; params[16]: 8; params[17]: -1.5; f(params): -197.69
params[0]: -2.2; params[1]: 0.3; params[2]: 1.3; params[3]: 4; params[4]: -5.3; params[5]: -0.5; params[6]: 1.9; params[7]: 2; params[8]: -2.4; params[9]: 1.8; params[10]: 2.9; params[11]: 3.3; params[12]: 2.7; params[13]: 2.1; params[14]: 2.7; params[15]: -1.3; params[16]: -0.4; params[17]: -1.7; f(params): 94.02
params[0]: 3.1; params[1]: 2.7; params[2]: -7.4; params[3]: 0.8; params[4]: -0.2; params[5]: 2.7; params[6]: 1.5; params[7]: 4.8; params[8]: 0; params[9]: -1.3; params[10]: 1; params[11]: -6.4; params[12]: 7.6; params[13]: -3.5; params[14]: -1.3; params[15]: -0; params[16]: -1.1; params[17]: 2.4; f(params): -172.71
params[0]: 1.4; params[1]: 2.5; params[2]: -1.2; params[3]: 2.7; params[4]: -1.5; params[5]: -3.6; params[6]: -3.1; params[7]: -3.3; params[8]: -0.1; params[9]: 1.1; params[10]: -1.8; params[11]: -0.5; params[12]: -1.8; params[13]: -4.9; params[14]: 5; params[15]: 1.9; params[16]: -0.9; params[17]: -2.5; f(params): -55.54
params[0]: 4.3; params[1]: 3.6; params[2]: 2.5; params[3]: 0.7; params[4]: -6; params[5]: 0.9; params[6]: 1.1; params[7]: 2.5; params[8]: -3; params[9]: 1.3; params[10]: -1.2; params[11]: 5.1; params[12]: 0.1; params[13]: 3.3; params[14]: -3.2; params[15]: -0.2; params[16]: 0.2; params[17]: 1.2; f(params): -37.56
params[0]: 1.2; params[1]: 0.9; params[2]: -2.6; params[3]: -0.3; params[4]: 0.9; params[5]: 0; params[6]: -0.9; params[7]: 2.4; params[8]: 1.1; params[9]: -7.6; params[10]: 2.5; params[11]: -0.5; params[12]: 3.2; params[13]: 1.2; params[14]: 2.9; params[15]: -1.8; params[16]: -2.2; params[17]: -4.8; f(params): 44.00
params[0]: 3.4; params[1]: -5.4; params[2]: -0; params[3]: 1.3; params[4]: -0.4; params[5]: -0.3; params[6]: 0.6; params[7]: 5; params[8]: 0.5; params[9]: 0.9; params[10]: -1.3; params[11]: 2.6; params[12]: 0.7; params[13]: 0.3; params[14]: 3.6; params[15]: -0.8; params[16]: 1.8; params[17]: 0.5; f(params): 16.73
params[0]: -2.2; params[1]: -5.6; params[2]: -2.2; params[3]: 2.5; params[4]: 0.2; params[5]: 0.9; params[6]: -1.5; params[7]: -2.7; params[8]: -1.7; params[9]: -0.3; params[10]: -3.5; params[11]: 3.3; params[12]: 3.5; params[13]: -1.9; params[14]: 0.8; params[15]: 9; params[16]: -1.4; params[17]: 3.7; f(params): -439.26
params[0]: -2.5; params[1]: -1.1; params[2]: -3.3; params[3]: -3.3; params[4]: 3.7; params[5]: -2.1; params[6]: 3.2; params[7]: 1.4; params[8]: -3; params[9]: -0.6; params[10]: -1.6; params[11]: -3; params[12]: -3; params[13]: 0.3; params[14]: -3.8; params[15]: -0.9; params[16]: 0.6; params[17]: 7; f(params): -31.69
params[0]: 6.7; params[1]: 1.8; params[2]: 5.1; params[3]: 0.7; params[4]: -2.1; params[5]: 1.3; params[6]: -4.8; params[7]: -5.9; params[8]: 1.2; params[9]: 2.5; params[10]: -1.7; params[11]: -0.8; params[12]: -6.1; params[13]: -1.1; params[14]: -2.9; params[15]: 6.1; params[16]: 1.9; params[17]: 5.4; f(params): -48.36
params[0]: 3; params[1]: -0.3; params[2]: -3.2; params[3]: -0.4; params[4]: -0.1; params[5]: -0.6; params[6]: -3.1; params[7]: -1.8; params[8]: -1.5; params[9]: -5.7; params[10]: 1.2; params[11]: 3.6; params[12]: 0.1; params[13]: -2.9; params[14]: -4.8; params[15]: 0.2; params[16]: 3.2; params[17]: -2.5; f(params): -181.58
params[0]: -3.8; params[1]: -5.6; params[2]: -1.9; params[3]: -3.9; params[4]: 0.9; params[5]: 1.8; params[6]: 1.2; params[7]: -0.1; params[8]: -3.1; params[9]: -0.7; params[10]: 2.2; params[11]: 0.8; params[12]: -2.4; params[13]: -1.3; params[14]: -3.4; params[15]: 2; params[16]: -1.8; params[17]: -2.1; f(params): -19.57
params[0]: -1.9; params[1]: 2.6; params[2]: 0.9; params[3]: 1.4; params[4]: 3.5; params[5]: -3.1; params[6]: -2.2; params[7]: 1.3; params[8]: 0.3; params[9]: -2.8; params[10]: 0.1; params[11]: -0.2; params[12]: 1.1; params[13]: 1.3; params[14]: -7; params[15]: 2.2; params[16]: 0.8; params[17]: -2; f(params): -202.01
params[0]: -1.5; params[1]: -3; params[2]: 3.5; params[3]: -4.4; params[4]: 1.2; params[5]: -0.7; params[6]: -2.7; params[7]: -0.6; params[8]: -4.1; params[9]: 0.7; params[10]: 4.8; params[11]: -1.6; params[12]: 4.6; params[13]: -2.2; params[14]: 4.1; params[15]: -6.6; params[16]: 3.9; params[17]: -3.7; f(params): -28.82
params[0]: -1.7; params[1]: 0.2; params[2]: -0.3; params[3]: -2.3; params[4]: 4.9; params[5]: 3.2; params[6]: 3.9; params[7]: -0.4; params[8]: 2.1; params[9]: 1.8; params[10]: 0.3; params[11]: -2.2; params[12]: -2.9; params[13]: 4; params[14]: 4.9; params[15]: 1.6; params[16]: 0.5; params[17]: 2.4; f(params): -20.31
params[0]: 1.1; params[1]: 1; params[2]: 3.9; params[3]: 4.5; params[4]: 1.2; params[5]: -3.8; params[6]: -4.2; params[7]: -2; params[8]: 0.1; params[9]: 2.5; params[10]: 3.6; params[11]: 0.5; params[12]: -2.1; params[13]: -5.6; params[14]: -2.7; params[15]: 1.7; params[16]: 2; params[17]: -3.2; f(params): -90.75
params[0]: 2.3; params[1]: -3.7; params[2]: 1.9; params[3]: 1.4; params[4]: 1.5; params[5]: 4.5; params[6]: -0.6; params[7]: -2.7; params[8]: -1; params[9]: -0.4; params[10]: 2.2; params[11]: -3.6; params[12]: -2.6; params[13]: 0.7; params[14]: 5.1; params[15]: -4.5; params[16]: -6.8; params[17]: -2.9; f(params): -34.73
params[0]: -0.9; params[1]: 1.8; params[2]: 0.6; params[3]: -4.6; params[4]: 1; params[5]: 2.8; params[6]: -0.5; params[7]: 5.2; params[8]: 2.7; params[9]: 1.5; params[10]: -3.3; params[11]: 3; params[12]: -0; params[13]: 3.5; params[14]: -2.9; params[15]: -2.6; params[16]: 0.5; params[17]: -1.5; f(params): 10.58
params[0]: 3.2; params[1]: -0.9; params[2]: -0.5; params[3]: 3.2; params[4]: -0.9; params[5]: -0.8; params[6]: -2.3; params[7]: 0.7; params[8]: -2.8; params[9]: -3.4; params[10]: -1; params[11]: 2; params[12]: -2.2; params[13]: -6; params[14]: 6.3; params[15]: -0; params[16]: 0.2; params[17]: -6.1; f(params): -17.51
params[0]: -1; params[1]: -0.9; params[2]: -1; params[3]: 2.4; params[4]: -3.1; params[5]: -2.3; params[6]: -6.9; params[7]: 1.7; params[8]: -0.2; params[9]: -2.1; params[10]: -4.6; params[11]: -4; params[12]: -4.1; params[13]: 1.8; params[14]: -2.3; params[15]: 0; params[16]: 2.1; params[17]: -2; f(params): 4.64
params[0]: 2.3; params[1]: 4.1; params[2]: 0.5; params[3]: 4.5; params[4]: 0.7; params[5]: -0.4; params[6]: -0.9; params[7]: -3.7; params[8]: -1.4; params[9]: -1.9; params[10]: 4; params[11]: 1.3; params[12]: 3.1; params[13]: 4.4; params[14]: 0.4; params[15]: 5.4; params[16]: 7.2; params[17]: 0.6; f(params): -18.49
params[0]: 4.1; params[1]: 1.5; params[2]: 3; params[3]: 7.7; params[4]: -3.8; params[5]: 0.6; params[6]: -0.8; params[7]: -2.8; params[8]: 6.7; params[9]: -3.1; params[10]: -4.3; params[11]: -0.1; params[12]: -2.7; params[13]: -3.9; params[14]: -4; params[15]: 4; params[16]: 0.4; params[17]: -4.7; f(params): -208.25
params[0]: -1.6; params[1]: 0.5; params[2]: -0.2; params[3]: 1.6; params[4]: 4.1; params[5]: 1.6; params[6]: 3.4; params[7]: 3.8; params[8]: 1.7; params[9]: 1.1; params[10]: 2.2; params[11]: 1.4; params[12]: -1.2; params[13]: -1.7; params[14]: 4.6; params[15]: -0.9; params[16]: -2.3; params[17]: -6.2; f(params): -8.50
params[0]: -1.5; params[1]: -1.6; params[2]: 2.9; params[3]: -0.2; params[4]: 1.2; params[5]: -0.1; params[6]: 6.1; params[7]: 2.7; params[8]: -1.5; params[9]: 3.7; params[10]: 1.5; params[11]: -1.5; params[12]: 4.6; params[13]: 2.9; params[14]: 1.6; params[15]: 0.5; params[16]: 2.4; params[17]: 3; f(params): -8.88
params[0]: -2.3; params[1]: -0.2; params[2]: 0.2; params[3]: 0.9; params[4]: 1.6; params[5]: -2.2; params[6]: 1.1; params[7]: -5.6; params[8]: 1.5; params[9]: -2.8; params[10]: -2.8; params[11]: 2.8; params[12]: 0.9; params[13]: -0.9; params[14]: -0.6; params[15]: 4.9; params[16]: 2.1; params[17]: -1.9; f(params): -218.47
params[0]: 0.1; params[1]: -5.2; params[2]: 1.7; params[3]: -8.5; params[4]: -5.8; params[5]: -4; params[6]: -0.6; params[7]: 0.9; params[8]: 1.5; params[9]: -3.8; params[10]: -3; params[11]: -2.6; params[12]: 3.5; params[13]: 0; params[14]: 5.4; params[15]: -3.3; params[16]: 1.7; params[17]: 0.9; f(params): -146.94
params[0]: 0.4; params[1]: 2.8; params[2]: -5.2; params[3]: -4; params[4]: -1.9; params[5]: 2.2; params[6]: 2.6; params[7]: -3; params[8]: -0.6; params[9]: 3.8; params[10]: 0.1; params[11]: 2.2; params[12]: -2.5; params[13]: 4.2; params[14]: -2.9; params[15]: -5.9; params[16]: -1; params[17]: -0.8; f(params): -16.33
params[0]: -0; params[1]: 1.8; params[2]: 4.2; params[3]: 9; params[4]: -3.2; params[5]: -6.9; params[6]: -1.6; params[7]: 0.9; params[8]: -3.5; params[9]: -0.2; params[10]: -0.8; params[11]: 1.1; params[12]: 4.9; params[13]: 1.1; params[14]: -7.2; params[15]: 0.9; params[16]: -3.1; params[17]: 3; f(params): -149.13
params[0]: -2.4; params[1]: -4.3; params[2]: 1.7; params[3]: -2.2; params[4]: 1.9; params[5]: 6.6; params[6]: 0.2; params[7]: 3.2; params[8]: -2.4; params[9]: -5.4; params[10]: -1.5; params[11]: 0.9; params[12]: -2.5; params[13]: -7.2; params[14]: -0.9; params[15]: -1.1; params[16]: -4.8; params[17]: -2.8; f(params): -47.08
