system:
You are good global optimizer, helping me find the global maximum of a mathematical function f(params).
I will give you the function evaluation and the current iteration number at each step. 
Your goal is to propose input values that efficiently lead us to the global maximum within a limited number of iterations (400). 

# Regarding the parameters **params**:
**params** is an array of 10 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[9]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 500.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 1.0**.


Next, you will see examples of params and f(params) pairs.
params[0]: 4.4; params[1]: -3.5; params[2]: -1.3; params[3]: 3; params[4]: -1.1; params[5]: 3.9; params[6]: 2.4; params[7]: -0.8; params[8]: 0.7; params[9]: -2; f(params): 9.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 500.00
params[0]: 1.3; params[1]: -1.1; params[2]: 6.4; params[3]: -5.2; params[4]: -7; params[5]: 2.4; params[6]: 2.9; params[7]: -3.7; params[8]: -1.7; params[9]: -2.5; f(params): 16.00
params[0]: -0.5; params[1]: -1.5; params[2]: -3.4; params[3]: 1.7; params[4]: 0.2; params[5]: 6.4; params[6]: -1.2; params[7]: 1.3; params[8]: -0.2; params[9]: -0.2; f(params): 11.00
params[0]: 2.5; params[1]: -5.3; params[2]: 5.2; params[3]: 6.6; params[4]: -1.8; params[5]: -5.6; params[6]: -3.4; params[7]: 0.5; params[8]: -1.4; params[9]: 1.3; f(params): 13.00
params[0]: -4.6; params[1]: -4.7; params[2]: 0.6; params[3]: 0.3; params[4]: 6.1; params[5]: -0.1; params[6]: -5.1; params[7]: 5.8; params[8]: 4; params[9]: -0.7; f(params): 23.00
params[0]: -4; params[1]: 0.9; params[2]: -5.1; params[3]: 2.7; params[4]: 1.6; params[5]: -2.8; params[6]: -1.1; params[7]: 1.2; params[8]: 1.4; params[9]: -4.8; f(params): 9.00
params[0]: 0.9; params[1]: -0.3; params[2]: -4.9; params[3]: -3.3; params[4]: 3.9; params[5]: -5.8; params[6]: 0.3; params[7]: -1.2; params[8]: -1.3; params[9]: 5.9; f(params): 9.00
params[0]: 1.2; params[1]: 3.2; params[2]: 0.4; params[3]: 0.7; params[4]: 2.9; params[5]: -4.7; params[6]: 2; params[7]: 6.8; params[8]: 2.3; params[9]: 0.3; f(params): 24.00
params[0]: 3.8; params[1]: 1.1; params[2]: 1; params[3]: -6.9; params[4]: 1.4; params[5]: -7.2; params[6]: 0; params[7]: 3.2; params[8]: -0.6; params[9]: -2.5; f(params): 26.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 226.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 201.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 153.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 155.55
params[0]: -4.4; params[1]: -4.4; params[2]: -4.4; params[3]: -4.4; params[4]: -4.4; params[5]: -4.4; params[6]: -4.4; params[7]: -4.4; params[8]: -4.4; params[9]: -4.4; f(params): 9.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 281.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 223.10
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 205.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 229.40
params[0]: -6; params[1]: 6; params[2]: -6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 9.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 221.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 174.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 281.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 187.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 266.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 370.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 162.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 266.45
params[0]: -6; params[1]: 6; params[2]: -6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 9.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 218.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 182.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 239.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 261.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 225.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 153.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.25
params[0]: -5.8; params[1]: 5.8; params[2]: -5.8; params[3]: 5.8; params[4]: -5.8; params[5]: 5.8; params[6]: -5.8; params[7]: 5.8; params[8]: -5.8; params[9]: 5.8; f(params): 9.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 221.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 222.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 324.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 226.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 309.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 160.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 349.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 170.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 197.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 283.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 222.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 184.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 199.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 198.35
params[0]: -6; params[1]: -6; params[2]: 6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 13.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 195.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 154.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 271.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 157.20
params[0]: -6; params[1]: 6; params[2]: -6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 9.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 178.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 220.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 160.55
params[0]: -6; params[1]: 6; params[2]: -6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 9.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 202.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 305.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 326.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 140.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 200.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 215.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 261.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 267.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 156.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 243.80
params[0]: -6; params[1]: 6; params[2]: -6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 9.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 220.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 306.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 217.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 265.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 199.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 178.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 281.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 177.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 221.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 223.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 286.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 242.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 184.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 177.90
params[0]: 1; params[1]: -1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 218.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 203.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 245.90
params[0]: 1; params[1]: -1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 224.10
params[0]: 1; params[1]: -1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 23.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 222.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 261.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 22.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 290.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 200.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 23.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 174.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 23.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 288.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 228.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 20.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 303.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 24.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 22.05
